Target,MAE,MSE,R2
PowerConsumption_Zone1,3270.7237959330887,21545992.347472735,0.5783710955091541
PowerConsumption_Zone2,2412.407753973316,11498575.204337925,0.5828287557027532
PowerConsumption_Zone3,2517.7625753454668,12731947.74387631,0.7113227760907137
